RollGap,RollTemp,Thickness_B_C,Density_B_C,Porosity_B_C,Thickness_A_C,Density_A_C,Porosity_A_C,Coating_weight,Cap_C20,GCap_C20,Cap_C5,GCap_C5,Cap_C2,GCap_C2,Cap_1C,GCap_1C,Cap_2C,GCap_2C,Cap_5C,GCap_5C,Cap_10C,GCap_10C,ASI_9010,ASI_5010,ASI_2010,ASI_5002,ASI_2030,FCL,CapRatio
475,85,52.66,2.29,48.56,45,2.657184642,40.39514038,119.5733089,3.266396979,165.4894823,3.183044048,161.2664703,3.039472908,153.9925493,2.924030189,148.143733,2.781690111,140.9321828,2.459053203,124.5860329,1.421935983,72.04128926,42.90302622,56.20799914,122.7025224,44.78585109,77.94421599,9.086438153,0.772547651
475,85,52.66,2.29,48.56,45,2.65925247,40.34875572,119.6663611,3.284770838,166.2909716,3.201591653,162.0800393,3.057627081,154.7918571,2.941363636,148.9060397,2.789131668,141.1993219,2.454930501,124.280444,1.478548445,74.85126651,36.42280354,45.4360851,113.8706055,36.7322736,67.04030469,9.086438153,0.766784389
462,85,52.5,2.3,48.23,41,2.858548206,35.87823675,117.2004764,3.19835457,165.3228602,3.15818145,163.2463127,3.01815589,156.0083954,2.90726537,150.2764674,2.76172541,142.7535109,2.45485768,126.8915263,1.64803113,85.18668402,25.3703256,34.8608389,81.4162563,22.9060437,54.5064404,8.550986236,0.777301026
462,85,52.5,2.3,48.23,41,2.875910394,35.48877536,117.9123262,3.23963065,166.4454668,3.16380443,162.5496737,3.01981786,155.151944,2.91337991,149.6833841,2.77594444,142.6222363,2.47116328,126.9632159,1.7345165,89.11584055,20.5462285,32.9611007,72.5067389,16.615635,57.1709977,9.067909759,0.781073336
462,85,52.5,2.3,48.23,41,2.885584424,35.27177155,118.3089614,2.99373077,153.2959844,3.17306169,162.478744,3.02900158,155.1020498,2.92061322,149.5519514,2.77644157,142.1695458,2.45645871,125.7846096,1.6657254,85.29458211,20.6868986,29.7999023,75.1811817,17.4042455,50.0093126,10.40224832,0.774160401
458,85,52.5,2.3,48.39,38,3.050629364,31.56955218,115.9239158,4.34,226.804865,3.17,165.661618,3.03,158.345332,2.93,153.1194135,2.82,147.3709031,2.59,135.3512904,1.88,98.24726873,20.6868986,29.7999023,75.1811817,17.4042455,50.0093126,11.06557377,0.8170347
458,85,52.5,2.3,48.39,38,3.05944484,31.37180708,116.2589039,3.19316038,166.3911362,3.10991814,162.0534991,2.97044671,154.7858373,2.85332151,148.6826064,2.73332706,142.4298629,2.44159419,127.2280697,1.65416878,86.19642923,20.9052539,31.578632,72.6668635,17.2780797,59.2380252,9.354613761,0.785099183
458,85,52.5,2.3,48.39,38,3.078698086,30.93992628,116.9905273,3.23486954,167.5103907,3.15005918,163.1186784,3.01280106,156.0110776,2.90355135,150.3538288,2.7645222,143.1545193,2.46361747,127.5728495,1.64230161,85.04286834,19.129583,28.4237022,73.7269607,15.7346128,50.2027054,8.605255201,0.782086091
400,120,52.83,2.333045,47.57202,47,2.630569883,40.99215158,123.6367845,3.32352513,162.8496932,3.32481911,162.9130971,3.17736292,155.6878786,3.06219846,150.0449253,2.8813593,141.1839718,2.49467171,122.2366333,1.39224438,68.21870193,29.1085316,36.7465727,104.993511,28.7893581,61.396837,9.102939357,0.750318026
400,120,52.83,2.333045,47.57202,47,2.649539179,40.56664023,124.5283414,3.37818052,164.3426664,3.35282209,163.1090224,3.20316021,155.8282296,3.07950234,149.8124872,2.87149125,139.6931057,2.46736902,120.033255,1.28559214,62.54184433,28.1914,36.7084863,99.1123189,27.6633774,57.9484273,9.032377866,0.735908126
